"time","coolingLoad","n","Mode","CT_c","CHP_c","CP_c","Chiller_c","Tset","Twb","valveOpen","Val9","Val10","StoragePumpSignal"
4320,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4350,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4380,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4410,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4440,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4470,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4500,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4530,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4560,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4590,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4620,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4650,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4680,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4710,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4740,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4770,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4800,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4830,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4860,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4890,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4920,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4950,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
4980,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5010,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5040,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5070,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5100,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5130,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5160,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5190,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5220,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5250,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5280,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5310,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5340,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5370,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5400,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5430,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5460,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5490,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5520,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5550,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5580,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5610,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5640,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5670,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5700,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5730,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5760,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5790,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5820,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5850,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5880,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5910,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5940,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
5970,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6000,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6030,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6060,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6090,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6120,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6150,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6180,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6210,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6240,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6270,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6300,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6330,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6360,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6390,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6420,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6450,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6480,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6510,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6540,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6570,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6600,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6630,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6660,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6690,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6720,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6750,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6780,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6810,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
6840,7000000,1,2,1,1,1,1,293.15,301.15,1,1,0,0
