"time","singleChiller.singleChiller.mov.P","singleChiller.singleChiller.chillerWithHex2_1.chi.P","singleChiller.singleChiller.mov1.P","supplyTemp","returnTemp","storageTankWithPump.mov.P","total_power","total_energy"
3000,63369.520287783,0.0005755807599743392,63534.9627503454,293.1495468893446,293.1498010545267,64066.82386098196,190971.3074746911,593334558.2687222
3030,63369.520287783,0.000575576505166002,63534.9627503454,293.149615262919,293.1498010763793,64066.82386098196,190971.3074746869,599063697.4929628
3060,63369.520287783,0.0005755712509793834,63534.9627503454,293.1496996987852,293.1498009305247,64066.82386098196,190971.3074746816,604792836.7172034
3090,63369.520287783,0.0005755649084295699,63534.9627503454,293.1498016273853,293.149801429476,64066.82386098196,190971.3074746753,610521975.9414437
3120,63369.520287783,0.0005755625032069351,63534.9627503454,293.1498402766722,293.1497958376145,64066.82386098196,190971.3074746729,616251115.1656839
3150,63369.520287783,0.000575560427974178,63534.9627503454,293.1498736233741,293.1497901597389,64066.82386098196,190971.3074746708,621980254.389924
3180,63369.520287783,0.0005755585621724546,63534.9627503454,293.1499036052859,293.1497852549494,64066.82386098196,190971.3074746689,627709393.6141641
3210,63369.520287783,0.0005755569418440961,63534.9627503454,293.1499296433283,293.1497817512374,64066.82386098196,190971.3074746673,633438532.8384042
3240,63369.520287783,0.0005755556030314046,63534.9627503454,293.1499511584224,293.1497802765944,64066.82386098196,190971.307474666,639167672.0626441
3270,63369.520287783,0.00057555458177669,63534.9627503454,293.1499675714888,293.1497814590119,64066.82386098196,190971.3074746649,644896811.2868841
3300,63369.520287783,0.0005755539141223218,63534.9627503454,293.1499783034485,293.1497859264813,64066.82386098196,190971.3074746643,650625950.511124
3330,63369.520287783,0.0005755536361107435,63534.9627503454,293.1499827752223,293.1497943069942,64066.82386098196,190971.307474664,656355089.735364
3360,63369.520287783,0.0005755537837845537,63534.9627503454,293.149980407731,293.1498072285421,64066.82386098196,190971.3074746642,662084228.9596039
3390,63369.520287783,0.0005755543931865458,63534.9627503454,293.1499706218955,293.1498253191165,64066.82386098196,190971.3074746648,667813368.1838439
